"month","year","date","mean_burden","max_burden","min_burden","scenario"
1,2012,"2012-01-01",0.317320652061708,0.329366984781712,0.303536687673103,"to-present"
1,2013,"2013-01-01",0.311305228414726,0.322161585216846,0.296681632142031,"to-present"
1,2014,"2014-01-01",0.306078516655953,0.320863187595536,0.290639389540841,"to-present"
1,2015,"2015-01-01",0.262958146823765,0.282824017033198,0.235671259749994,"to-present"
1,2016,"2016-01-01",0.290137565801343,0.299968910910421,0.269410269119511,"to-present"
1,2017,"2017-01-01",0.287363662072542,0.298622587522527,0.269588380034654,"to-present"
1,2018,"2018-01-01",0.204554641784763,0.226296179311824,0.174058143821716,"to-present"
1,2019,"2019-01-01",0.282598860832632,0.299800953634295,0.263762742751439,"to-present"
1,2020,"2020-01-01",0.213301197667601,0.238496217952355,0.180258799005818,"to-present"
2,2012,"2012-02-01",0.306138143662541,0.319292005147032,0.287093736658808,"to-present"
2,2013,"2013-02-01",0.300666100095281,0.318911605690254,0.280507717290453,"to-present"
2,2014,"2014-02-01",0.295942612507994,0.308954509058511,0.281153229182386,"to-present"
2,2015,"2015-02-01",0.257151522445628,0.275214146933995,0.236158163688368,"to-present"
2,2016,"2016-02-01",0.277453975413666,0.288585379520357,0.254078889470957,"to-present"
2,2017,"2017-02-01",0.278326373026766,0.29151282867068,0.262119450021365,"to-present"
2,2018,"2018-02-01",0.200286374442418,0.226727476717751,0.171908572717124,"to-present"
2,2019,"2019-02-01",0.276420562358294,0.287582255612983,0.26015298736391,"to-present"
2,2020,"2020-02-01",0.18910958147978,0.211468236711377,0.160100805727015,"to-present"
3,2012,"2012-03-01",0.284067807999643,0.302050959301013,0.262156468977922,"to-present"
3,2013,"2013-03-01",0.279596617714155,0.294644145151465,0.254348424902551,"to-present"
3,2014,"2014-03-01",0.27412251338169,0.285168808421306,0.250980921370353,"to-present"
3,2015,"2015-03-01",0.232177559957279,0.248355483010493,0.208231406265586,"to-present"
3,2016,"2016-03-01",0.25626294133575,0.267715165500009,0.236793147350795,"to-present"
3,2017,"2017-03-01",0.258868747421187,0.27487092176157,0.238968192387614,"to-present"
3,2018,"2018-03-01",0.175338899897602,0.204847582090561,0.142931357479705,"to-present"
3,2019,"2019-03-01",0.255069399937729,0.271651485117066,0.229686237805895,"to-present"
3,2020,"2020-03-01",0.152857349900007,0.180987030156782,0.126143068352913,"to-present"
4,2012,"2012-04-01",0.29593056847121,0.311732817247119,0.274349521196566,"to-present"
4,2013,"2013-04-01",0.291096673144847,0.306923707617612,0.263891171482445,"to-present"
4,2014,"2014-04-01",0.285640145184402,0.298868732444467,0.266051705708623,"to-present"
4,2015,"2015-04-01",0.25366085841056,0.268748038133738,0.231868083514819,"to-present"
4,2016,"2016-04-01",0.270079315618426,0.287167068550699,0.246819712281645,"to-present"
4,2017,"2017-04-01",0.272483934947474,0.289233991199852,0.248949753481701,"to-present"
4,2018,"2018-04-01",0.212154914401248,0.237991959934502,0.174608199408615,"to-present"
4,2019,"2019-04-01",0.272132859624834,0.286541030489873,0.246576890525921,"to-present"
4,2020,"2020-04-01",0.185273710513672,0.210847809646388,0.149819051869393,"to-present"
5,2012,"2012-05-01",0.303312349387108,0.318281028881432,0.283874305435603,"to-present"
5,2013,"2013-05-01",0.298506140491574,0.314632503350139,0.278240001728453,"to-present"
5,2014,"2014-05-01",0.292205016803844,0.309820200662841,0.269377811900285,"to-present"
5,2015,"2015-05-01",0.261327834319904,0.279748539690693,0.232020540372536,"to-present"
5,2016,"2016-05-01",0.266604918635971,0.279122712927127,0.242965885914389,"to-present"
5,2017,"2017-05-01",0.261212745975861,0.276294707722533,0.238713242929048,"to-present"
5,2018,"2018-05-01",0.207913179048013,0.22717515567353,0.164975786792107,"to-present"
5,2019,"2019-05-01",0.259731322938828,0.274558870389413,0.237277091141209,"to-present"
5,2020,"2020-05-01",0.182370885438621,0.210241572030286,0.144703745107818,"to-present"
6,2012,"2012-06-01",0.312665228721156,0.327079407903872,0.298988586590816,"to-present"
6,2013,"2013-06-01",0.307323335473295,0.323560283864023,0.286923357000207,"to-present"
6,2014,"2014-06-01",0.301191426249037,0.316479203553067,0.28124022801825,"to-present"
6,2015,"2015-06-01",0.27752149193211,0.292756674521992,0.256224809637061,"to-present"
6,2016,"2016-06-01",0.255001877675447,0.268658656128308,0.232206482230926,"to-present"
6,2017,"2017-06-01",0.232551824112921,0.249560663398146,0.200073200811154,"to-present"
6,2018,"2018-06-01",0.198981550056537,0.227670677064939,0.159809155281669,"to-present"
6,2019,"2019-06-01",0.223922068516461,0.248409451051115,0.193104461305995,"to-present"
6,2020,"2020-06-01",0.176012057772306,0.197584500026625,0.138567738797008,"to-present"
7,2012,"2012-07-01",0.291239891121754,0.309642556921873,0.268937342887459,"to-present"
7,2013,"2013-07-01",0.286319370735611,0.304467855989424,0.267717436069388,"to-present"
7,2014,"2014-07-01",0.279705633748588,0.294901370925803,0.2595177336367,"to-present"
7,2015,"2015-07-01",0.255530198018535,0.268572945957643,0.234743837217419,"to-present"
7,2016,"2016-07-01",0.230015665857343,0.24820602715924,0.209357377288495,"to-present"
7,2017,"2017-07-01",0.202316360154132,0.226400256763615,0.178120755519177,"to-present"
7,2018,"2018-07-01",0.176249106375867,0.203529502977243,0.143667922324286,"to-present"
7,2019,"2019-07-01",0.187256051253152,0.216625981253916,0.161188934679931,"to-present"
7,2020,"2020-07-01",0.151586563827104,0.182419666540008,0.116284669790737,"to-present"
8,2012,"2012-08-01",0.262403399054398,0.28249042098449,0.235894423607093,"to-present"
8,2013,"2013-08-01",0.258822040959671,0.280997539664228,0.229035277104601,"to-present"
8,2014,"2014-08-01",0.236237140299312,0.25000964477275,0.214849123903916,"to-present"
8,2015,"2015-08-01",0.226939175455577,0.244192610808393,0.199969567783999,"to-present"
8,2016,"2016-08-01",0.20040181956001,0.224945964194422,0.173854045232691,"to-present"
8,2017,"2017-08-01",0.1736145281579,0.201786846222198,0.144075717709141,"to-present"
8,2018,"2018-08-01",0.149264537506446,0.175950436900032,0.121957217612774,"to-present"
