"month","year","date","mean_burden","max_burden","min_burden","scenario"
1,2012,"2012-01-01",0.135943372768543,0.681322586658259,0.0324152661463288,"to-present"
1,2013,"2013-01-01",0.121115908306839,0.613895327305281,0.0315379697528432,"to-present"
1,2014,"2014-01-01",0.119071186553229,0.381624195630662,0.0305809646979061,"to-present"
1,2015,"2015-01-01",0.0638598427484521,0.342615713675621,0.0288850238046441,"to-present"
1,2016,"2016-01-01",0.0909773151488571,0.369231716244819,0.0276822153083789,"to-present"
1,2017,"2017-01-01",0.106091556982486,0.431949042640158,0.0286304233826709,"to-present"
1,2018,"2018-01-01",0.0517954413758151,0.311665664876781,0.0285839308236363,"to-present"
1,2019,"2019-01-01",0.106083413132934,0.38973956354473,0.0285033518904872,"to-present"
1,2020,"2020-01-01",0.101197479892806,0.496623315664951,0.0286344252185861,"to-present"
2,2012,"2012-02-01",0.0788636161626662,0.328548104595896,0.0324481648438394,"to-present"
2,2013,"2013-02-01",0.0753266554160533,0.34556760504991,0.031531069667237,"to-present"
2,2014,"2014-02-01",0.098091868213775,0.38079773541171,0.0305830356308343,"to-present"
2,2015,"2015-02-01",0.0559908979215368,0.270195853862362,0.0280768038897503,"to-present"
2,2016,"2016-02-01",0.111005814925226,0.481665005901989,0.0284098864870974,"to-present"
2,2017,"2017-02-01",0.109429071987616,0.41170808767266,0.0286265295003952,"to-present"
2,2018,"2018-02-01",0.0511282216767628,0.186632903979617,0.0285093126769401,"to-present"
2,2019,"2019-02-01",0.0821571593037949,0.36708767438445,0.0283103451414259,"to-present"
2,2020,"2020-02-01",0.0571862918234946,0.338560779286566,0.0286233152643112,"to-present"
3,2012,"2012-03-01",0.0932566596878662,0.41608826362836,0.0324800111621879,"to-present"
3,2013,"2013-03-01",0.0888471742072091,0.351189619318823,0.0315309879396582,"to-present"
3,2014,"2014-03-01",0.0677154699771598,0.34800534937978,0.0305735568563173,"to-present"
3,2015,"2015-03-01",0.0354539678038518,0.0833739300470082,0.0271783921701687,"to-present"
3,2016,"2016-03-01",0.0636713038362663,0.371515443759774,0.0280836697581004,"to-present"
3,2017,"2017-03-01",0.070595382560365,0.349773367370584,0.0286336567809437,"to-present"
3,2018,"2018-03-01",0.0483010165135116,0.332495530918889,0.0284087524915972,"to-present"
3,2019,"2019-03-01",0.0900392303131309,0.412881697659517,0.0284724360102293,"to-present"
3,2020,"2020-03-01",0.0506054152667324,0.320230206406421,0.0286001767435791,"to-present"
4,2012,"2012-04-01",0.101837954229605,0.375926763632163,0.0324793478540763,"to-present"
4,2013,"2013-04-01",0.102980697226765,0.417651090546003,0.0315309273111355,"to-present"
4,2014,"2014-04-01",0.0910653146042103,0.348092031458041,0.0305824870899689,"to-present"
4,2015,"2015-04-01",0.0332763225794081,0.082272172037894,0.0266213166952373,"to-present"
4,2016,"2016-04-01",0.0772922031182108,0.330516229732963,0.0283342912384545,"to-present"
4,2017,"2017-04-01",0.0749486407113859,0.325171748492553,0.0286457944674744,"to-present"
4,2018,"2018-04-01",0.0770379559994062,0.344848007895067,0.028387336612741,"to-present"
4,2019,"2019-04-01",0.0587024657290769,0.32366168344445,0.0285020467955906,"to-present"
4,2020,"2020-04-01",0.0461147931061262,0.141928042673039,0.0285987448988818,"to-present"
5,2012,"2012-05-01",0.117163701637966,0.706206842117465,0.0324810879997884,"to-present"
5,2013,"2013-05-01",0.11084927466178,0.395048566892819,0.0315441639922895,"to-present"
5,2014,"2014-05-01",0.0841738082821737,0.40613164387341,0.030587266352079,"to-present"
5,2015,"2015-05-01",0.0793852205408375,0.632128163032874,0.0282028246873706,"to-present"
5,2016,"2016-05-01",0.0958890898943921,0.564286558274339,0.0285628431481168,"to-present"
5,2017,"2017-05-01",0.0728241759906322,0.378130687513515,0.028656622246625,"to-present"
5,2018,"2018-05-01",0.0381392763579906,0.0829874668342824,0.0283582520362163,"to-present"
5,2019,"2019-05-01",0.0694927954900482,0.310348865025322,0.0285924673233948,"to-present"
5,2020,"2020-05-01",0.0599855708444429,0.400352670475572,0.0286008647216382,"to-present"
6,2012,"2012-06-01",0.131934609096194,0.567872384344808,0.0324891553849565,"to-present"
6,2013,"2013-06-01",0.0914491023604249,0.37504774760202,0.0315424135589849,"to-present"
6,2014,"2014-06-01",0.0725666087766129,0.325264636061641,0.0305795713724246,"to-present"
6,2015,"2015-06-01",0.0861522689473731,0.321431777237866,0.0269800581540065,"to-present"
6,2016,"2016-06-01",0.0969463318356992,0.367219044639245,0.028623730672747,"to-present"
6,2017,"2017-06-01",0.0877838107308285,0.324597964396002,0.0286616149834207,"to-present"
6,2018,"2018-06-01",0.0389214349159408,0.0853572688034526,0.0282363235231719,"to-present"
6,2019,"2019-06-01",0.0977675871125825,0.467736012589115,0.0285996277731869,"to-present"
6,2020,"2020-06-01",0.0568225436415191,0.321298832837449,0.0285689264775368,"to-present"
7,2012,"2012-07-01",0.125143428909105,0.616525093983312,0.0324776016213999,"to-present"
7,2013,"2013-07-01",0.112562657226809,0.370302871111283,0.0315311000519032,"to-present"
7,2014,"2014-07-01",0.0791700740709429,0.369794148356111,0.030576187420203,"to-present"
7,2015,"2015-07-01",0.0589360159322389,0.38500574635517,0.0266657121269661,"to-present"
7,2016,"2016-07-01",0.0671540749451251,0.341990961896535,0.0285794269078476,"to-present"
7,2017,"2017-07-01",0.0570300975563348,0.178156935234135,0.0286543167547516,"to-present"
7,2018,"2018-07-01",0.0668907204664721,0.36671772478884,0.0278989969259555,"to-present"
7,2019,"2019-07-01",0.0923362614838095,0.444004788516308,0.0286019193031712,"to-present"
7,2020,"2020-07-01",0.0494589341825914,0.334858532496184,0.0284968437238148,"to-present"
8,2012,"2012-08-01",0.0865417039571709,0.61420584849692,0.0324721388029838,"to-present"
8,2013,"2013-08-01",0.0758321747864394,0.325033526570271,0.0315204715322477,"to-present"
8,2014,"2014-08-01",0.0364529434929042,0.0823784404808022,0.0305665280388654,"to-present"
8,2015,"2015-08-01",0.0425992384037689,0.316803490296857,0.026495344260147,"to-present"
8,2016,"2016-08-01",0.069594255173571,0.554582496203347,0.0285638050257667,"to-present"
8,2017,"2017-08-01",0.0385291506588506,0.0827781562800408,0.0286472497270594,"to-present"
8,2018,"2018-08-01",0.0550383470033855,0.317750249366084,0.0277967812019074,"to-present"
8,2019,"2019-08-01",0.0674057468835583,0.359101729616116,0.0285970161383947,"to-present"
8,2020,"2020-08-01",0.0328477353508514,0.0847121097530422,0.0283023878695773,"to-present"
9,2012,"2012-09-01",0.065155883457016,0.340369969452856,0.0324537544041934,"to-present"
9,2013,"2013-09-01",0.0495793902505025,0.272241815638156,0.0314934670989372,"to-present"
9,2014,"2014-09-01",0.0367169416712534,0.126689923819957,0.0305191573043637,"to-present"
9,2015,"2015-09-01",0.0624608112174743,0.330404369615286,0.027699469259606,"to-present"
9,2016,"2016-09-01",0.0637024522742947,0.347444735530644,0.0285421091200226,"to-present"
9,2017,"2017-09-01",0.0665166053115505,0.319307929786874,0.0286318258728656,"to-present"
9,2018,"2018-09-01",0.0522758322129871,0.346711063607884,0.0277313452217695,"to-present"
9,2019,"2019-09-01",0.0473551895312141,0.343435326606639,0.0285809117916901,"to-present"
9,2020,"2020-09-01",0.0525220238378411,0.589317020753648,0.027685317695273,"to-present"
10,2012,"2012-10-01",0.125263679651736,0.395045587833081,0.0324429837437413,"to-present"
10,2013,"2013-10-01",0.167458314733206,0.662744725093868,0.0314856635482559,"to-present"
10,2014,"2014-10-01",0.11620159702837,0.403137739514445,0.0304804532383014,"to-present"
10,2015,"2015-10-01",0.0741846667353499,0.367282954485799,0.0287261909337133,"to-present"
10,2016,"2016-10-01",0.0921137757834026,0.366009886669306,0.0286075297466249,"to-present"
10,2017,"2017-10-01",0.111567182747756,0.438421016301587,0.02863161123584,"to-present"
10,2018,"2018-10-01",0.0716088340870044,0.323186445901116,0.0278382244558838,"to-present"
10,2019,"2019-10-01",0.0889610389387418,0.581106168171632,0.0285971737098304,"to-present"
10,2020,"2020-10-01",0.0470389370318384,0.132933827498959,0.0274227348033643,"to-present"
11,2012,"2012-11-01",0.157533484679531,0.533001481129667,0.0324582943917432,"to-present"
11,2013,"2013-11-01",0.204650022638887,0.691779333534092,0.0747893785571768,"to-present"
11,2014,"2014-11-01",0.0669584011658867,0.336881956812993,0.0303702592407547,"to-present"
11,2015,"2015-11-01",0.157569041780359,0.392430857903475,0.0275570266746811,"to-present"
11,2016,"2016-11-01",0.112092205246046,0.431399479718765,0.0286154569219206,"to-present"
11,2017,"2017-11-01",0.0663452705089236,0.322931594651244,0.028635169568521,"to-present"
